endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Brigadeiro Tobias,centro historico de sao paulo,55,1,1,Apartamento,2650,3241,Centro Histórico de São Paulo,1410
Rua Professor Arnaldo João Semeraro,jardim santa emilia,37,2,0,Apartamento,1300,1800,Jardim Santa Emília,923
Rua Cônego Vicente Miguel Marino,barra funda,40,1,0,Casa,1500,1628,Barra Funda,1143
Avenida Manuel Pímentel,parque santa madalena,54,2,0,Casa,1300,1405,Parque Santa Madalena,1025
Rua Coronel Meireles 462 Casa 11 Penha Vila Lais,vila lais,180,3,2,Casa em condomínio,3800,4122,Vila Laís,1275
Alameda Franca,jardim paulista,62,2,0,Apartamento,4080,5135,Jardim Paulista,937
Avenida Mutinga,vila pirituba,50,2,1,Casa,1410,1553,Vila Pirituba,1075
Rua Carlos Magalhães,parque reboucas,50,1,1,Apartamento,1500,2008,Parque Reboucas,1074
Rua Engenheiro Gutierrez,jardim monjolo,60,2,0,Casa,1420,1480,Jardim Monjolo,1075
Rua Coronel Pedro Dias de Campos,chacara seis de outubro,58,2,1,Casa em condomínio,2650,3070,Chácara Seis de Outubro,1078
Rua Voluntários da Pátria,santana,20,1,0,Studio e kitnet,1649,2271,Santana,915
Avenida Cerejeiras,jardim japao,58,2,1,Apartamento,1700,2571,Jardim Japão,910
Alameda Nothmann,campos eliseos,42,1,0,Apartamento,1150,1424,Campos Elíseos,1143
Rua Aimberê,sumare,80,2,0,Apartamento,3800,4550,Sumaré,1151
Avenida Itaboraí,bosque da saude,80,2,1,Apartamento,2328,3018,Bosque da Saúde,1072
R. Carneiro da Cunha,vila da saude,62,3,2,Apartamento,3400,4564,Vila da Saúde,1072
Avenida Jônia,jardim brasil,83,3,2,Apartamento,3622,5042,Jardim Brasil (zona Sul),1069
Avenida Nova Cantareira,tucuruvi,107,2,1,Apartamento,1825,2496,Tucuruvi,1069
Avenida Salgado Filho,centro,37,1,1,Apartamento,1775,2238,Centro,1410
Rua Ouvidor Portugal,vila monumento,19,1,0,Studio e kitnet,1050,1126,Vila Monumento,1254
Rua George Ohm,cidade moncoes,88,2,1,Apartamento,8000,9249,Cidade Monções,1147
Rua Domingos de Morais,vila mariana,50,1,0,Studio e kitnet,1442,2206,Vila Mariana,1072
Rua Nanau,agua fria,150,1,1,Casa,3350,3527,Água Fria,1154
Avenida Jabaquara,mirandopolis,36,1,1,Apartamento,2800,3483,Mirandópolis,1072
Rua Firmiano Cardoso,chacara cruzeiro do sul,45,2,0,Apartamento,1390,1569,Chácara Cruzeiro do Sul,987
Rua Professor Castro Pereira,vila baruel,50,2,0,Casa,1880,2060,Vila Baruel,1259
Rua São Borja,cidade vargas,170,4,4,Casa,5500,5800,Cidade Vargas,1073
Rua Maia Lelo,vila paulo silas,30,1,0,Casa,1350,1422,Vila Paulo Silas,1025
Avenida Professor Francisco Morato,vila sonia,83,3,2,Apartamento,3000,3886,Vila Sônia,1074
Rua Serra de Jairé,quarta parada,24,1,0,Studio e kitnet,1550,1920,Quarta Parada,987
Rua Dom Sebastião Tomás,bosque da saude,50,1,0,Casa,1300,1355,Bosque da Saúde,1072
Rua Frei Caneca,bela vista,16,1,0,Studio e kitnet,2678,3123,Bela Vista,1410
Avenida Belisário Pena,vila maria alta,40,1,0,Apartamento,1031,1120,Vila Maria Alta,1252
Rua Caio Prado,consolacao,162,2,0,Apartamento,3000,4180,Consolação,1067
Rua Padre Isidoro,vila nova york,35,2,1,Apartamento,1400,1624,Vila Nova York,1026
Rua Francisca Miquelina,bela vista,31,1,0,Apartamento,1218,1604,Bela Vista,1410
Largo da Pólvora,liberdade,28,1,0,Studio e kitnet,1700,2206,Liberdade,1410
Rua Bandeirantes,bom retiro,100,3,1,Apartamento,1837,2856,Bom Retiro,1246
Rua Serra de Botucatu,chacara california,96,3,2,Apartamento,5500,6341,Chácara Califórnia,987
Rua Deputado Laércio Corte,paraiso do morumbi,70,3,1,Apartamento,2900,3902,Paraíso do Morumbi,917
Rua Piratininga,bras,50,2,1,Apartamento,1951,2550,Brás,934
Rua Alméria,vila granada,58,2,1,Apartamento,2100,2621,Vila Granada,1153
Rua Lucrécia Maciel,vila guarani,60,2,1,Apartamento,2310,3090,Vila Guarani (z Sul),1073
Rua José Antônio Coelho,vila mariana,42,1,1,Studio e kitnet,2500,2962,Vila Mariana,1072
Rua Rei Alberto,parque edu chaves,37,1,0,Casa,950,990,Parque Edu Chaves,942
Rua Rainúnculos,vila alpina,100,3,2,Casa,3590,3834,Vila Alpina,988
Rua Professora Maria Bitencourt Petit,cidade ademar,70,2,1,Casa,2020,2189,Cidade Ademar,1024
Rua João Vieira da Silva,vila sabrina,50,2,0,Casa,730,761,Vila Sabrina,910
Rua Alesso Baldovinetti,casa verde alta,44,2,0,Apartamento,1370,1593,Casa Verde Alta,1259
Rua Ponte Pensa,parada inglesa,38,2,0,Apartamento,1650,1949,Parada Inglesa,1069
Rua Visconde Parnaíba,bras,42,1,1,Apartamento,2300,2995,Brás,934
Rua Hassib Mofarrej,vila leopoldina,35,1,0,Studio e kitnet,2800,3208,Vila Leopoldina,909
Rua Imonclar E Lazari,jardim silvia,40,1,0,Casa,682,731,Jardim Silvia,919
Avenida Rotary,vila das bandeiras,38,2,0,Apartamento,1350,1711,Vila das Bandeiras,1146
Rua Cidade de Bagdá,vila mira,36,2,1,Apartamento,1800,2189,Vila Mira,1024
Rua Paulo de Avelar,vila dom pedro ii,58,2,2,Apartamento,2400,3623,Vila Dom Pedro Ii,1069
Rua Samuel Palmer,jardim jabaquara,80,2,2,Casa,2377,2898,Jardim Jabaquara,1073
Rua Arruda Alvim,pinheiros,50,1,1,Apartamento,2365,3200,Pinheiros,1257
Rua Monsenhor Castro Nery,parque maria domitila,130,3,2,Casa,4000,4170,Parque Maria Domitila,1075
Rua Emboaçava,parque da mooca,70,2,0,Casa,2560,2734,Parque da Mooca,987
Rua Olímpio Martins,jardim palmira,47,1,0,Casa,779,829,Jardim Palmira,1022
Rua Paim,bela vista,34,1,1,Studio e kitnet,2500,3247,Bela Vista,1410
Rua Galiléia,casa verde media,50,1,0,Casa,850,957,Casa Verde Média,1259
Rua Condessa do Pinhal,parque colonial,180,3,6,Casa,8500,8945,Parque Colonial,1265
Rua Trajano Reis,jardim das vertentes,57,3,1,Apartamento,2700,3404,Jardim das Vertentes,1074
Avenida Sebastião Henriques,vila siqueira,65,2,2,Apartamento,2100,3073,Vila Siqueira (zona Norte),1146
Rua Benito Fioretto,vila das merces,40,1,0,Casa,950,1024,Vila das Merces,1148
Rua Alexandre Leví,cambuci,69,3,1,Apartamento,2800,3546,Cambuci,983
Rua José Manso,vila matilde,29,1,0,Apartamento,2400,2680,Vila Matilde,1153
Rua Vicente Pereira de Assunção,vila constanca,40,1,0,Apartamento,1150,1254,Vila Constança,1024
Rua Anhanguera,barra funda,75,2,1,Apartamento,2955,3976,Barra Funda,1143
Alameda Glete,campos eliseos,45,1,0,Apartamento,1679,1744,Campos Elíseos,1143
Rua Santa Isabel,vila buarque,32,1,0,Studio e kitnet,1160,1672,Vila Buarque,1143
Rua Vergueiro,vila mariana,48,1,0,Apartamento,1600,2328,Vila Mariana,1072
Rua Engenheiro Edgar Autran,jardim maria estela,44,1,0,Casa,1200,1376,Jardim Maria Estela,1148
Avenida Alberto Augusto Alves,vila andrade,25,1,0,Studio e kitnet,2890,3368,Vila Andrade,917
Rua Doutor Heitor Nascimento,nossa senhora do o,55,2,1,Apartamento,1798,2546,Nossa Senhora do Ó,1146
Alameda Barros,santa cecilia,35,1,0,Apartamento,2000,2519,Santa Cecilia,938
Avenida Presidente Humberto de Alencar Castelo Branco,vila leonor,60,2,1,Apartamento,1750,2388,Vila Leonor,1252
Rua dos Lírios,mirandopolis,11,1,0,Studio e kitnet,600,918,Mirandópolis,1072
Avenida José Galante,vila suzana,78,1,2,Apartamento,3500,5593,Vila Suzana,1074
Rua Doutor Celso Dario Guimarães,jardim morumbi,310,4,3,Casa em condomínio,5500,10030,Jardim Morumbi,917
Rua Itambacuri,jardim oriental,100,2,0,Casa,1600,1718,Jardim Oriental,1073
Avenida Rangel Pestana,bras,36,1,1,Apartamento,1600,2112,Brás,934
Rua Coronel Gustavo Santiago,vila zilda,27,1,0,Apartamento,2100,2331,Vila Zilda,1069
Rua Tito Oliani,sao joao climaco,250,3,2,Casa,5000,5437,São João Clímaco,1148
Avenida João Barreto de Menezes,vila santa catarina,40,1,0,Casa,1500,1563,Vila Santa Catarina,1024
Alameda Itu,cerqueira cesar,50,1,1,Apartamento,3000,3661,Cerqueira César,1067
Rua Terceiro-sargento João Soares de Faria,parque novo mundo,56,2,1,Apartamento,1350,1905,Parque Novo Mundo,910
Rua Antônio Dias da Silva,vila amalia,61,1,1,Apartamento,1355,2108,Vila Amalia (zona Norte),1070
Rua Catarina Vieira,vila dalila,42,1,0,Apartamento,2000,2247,Vila Dalila,1153
Rua Alegria,bras,39,1,1,Apartamento,2300,2633,Brás,934
Rua Barra dos Bugres,vila zat,50,1,0,Casa,930,970,Vila Zat,1075
Rua Santa Isabel,vila buarque,40,1,0,Apartamento,1450,1836,Vila Buarque,1143
Rua Cônego Vicente Miguel Marino,barra funda,36,1,0,Casa,1600,1735,Barra Funda,1143
Rua Esmeraldino Cavalcanti Torres,vila isolina mazzei,30,1,0,Casa em condomínio,1420,1595,Vila Isolina Mazzei,1069
Rua Paulo Florence,vila primavera,30,1,0,Casa,750,782,Vila Primavera,1025
Rua Damásio Mascarenhas,santana,70,2,0,Casa,2700,2814,Santana,915
Rua Tenente Coronel Antonio Braga,vila santa catarina,54,2,0,Apartamento,1350,2348,Vila Santa Catarina,1024
Rua Retiro,maranhao,70,2,1,Apartamento,3850,4608,Maranhão,1078
Rua Nicola Nicodemo,vila celeste,28,1,0,Apartamento,862,945,Vila Celeste,1254
Rua Isidoro Kauffman,parque residencial julia,72,2,0,Casa,3200,3480,Parque Residencial Julia,1019
Rua Luís Góis,mirandopolis,69,2,1,Apartamento,2320,3010,Mirandópolis,1072
Rua Girassol,vila madalena,84,2,1,Apartamento,3400,4832,Vila Madalena,1257
Rua Catarina Vieira,vila dalila,43,1,0,Apartamento,2300,2559,Vila Dalila,1153
Avenida Vila Ema,vila ema,26,1,0,Apartamento,1600,2012,Vila Ema,1145
Rua Nelson Gama de Oliveira,vila andrade,106,2,2,Apartamento,4000,5603,Vila Andrade,917
Rua Murutinga do Sul,tatuape,90,2,1,Apartamento,2500,3446,Tatuapé,1078
Rua Cláudio Rodrigues Lopes,chora menino,42,2,1,Apartamento,1840,2111,Chora Menino,1154
Rua Mauá,centro,59,1,0,Apartamento,1200,1716,Centro,1410
Rua Conselheiro Furtado,liberdade,38,1,0,Apartamento,2200,2870,Liberdade,1410
Rua Francisco Alves,vila romana,22,1,0,Casa,950,1124,Vila Romana,957
Rua Doutor Jesuíno Maciel,campo belo,45,1,1,Studio e kitnet,3950,4767,Campo Belo,1147
Rua Conchilia,vila albertina,79,2,1,Casa,2800,2919,Vila Albertina,942
Rua Fiandeiras,vila olimpia,67,2,1,Apartamento,3771,5186,Vila Olímpia,1256
Rua da Consolação,consolacao,38,1,1,Apartamento,1400,2228,Consolação,1067
Rua Armando Ramos Filho,moinho velho,40,1,0,Apartamento,1200,1347,Moinho Velho,1148
Avenida Moreira Guimarães,indianopolis,58,2,1,Apartamento,1890,2998,Indianópolis,1255
Rua Doutor Luís Barreto,bela vista,31,1,0,Studio e kitnet,1200,1720,Bela Vista,1410
Rua Domingos Ataide,parque reboucas,46,2,1,Apartamento,1200,1797,Parque Reboucas,1074
Rua Dom Constantino Barradas,vila gumercindo,64,2,1,Apartamento,3300,4130,Vila Gumercindo,1072
Rua Marie Nader Calfat,jardim ampliacao,47,1,1,Apartamento,2700,3414,Jardim Ampliação,917
Rua Doutor Luiz Migliano,jardim cabore,75,3,1,Apartamento,2280,3457,Jardim Caboré,1074
Rua Dona Aurora Alegretti,jardim caravelas,125,3,2,Casa,6000,6423,Jardim Caravelas,1265
Rua Joaquim Guarani,jardim das acacias,19,0,0,Studio e kitnet,1970,2404,Jardim das Acacias,904
Rua Padre Carvalho,pinheiros,68,2,1,Apartamento,3800,5396,Pinheiros,1257
Avenida Aratãs,indianopolis,70,2,1,Apartamento,3100,4219,Indianópolis,1255
Rua Helvétia,campos eliseos,42,1,0,Apartamento,1932,2406,Campos Elíseos,1143
Rua Fani Lerner,parque nacoes unidas,43,2,0,Apartamento,1350,1402,Parque Nações Unidas,917
Rua Pedro Rendon,jardim consorcio,35,1,0,Casa,1350,1447,Jardim Consórcio,1268
Rua Valentim Magalhães,agua rasa,10,1,0,Apartamento,1400,1454,Água Rasa,987
Rua Antônio Hélio de Azevedo Marques,vila inglesa,40,1,0,Casa,1350,1441,Vila Inglesa,1074
Rua Herval,belenzinho,27,1,0,Studio e kitnet,2200,2793,Belenzinho,925
Avenida Vieira de Carvalho,republica,29,1,0,Studio e kitnet,1150,1736,República,1143
Rua Madre de Deus,mooca,56,2,1,Apartamento,2200,3244,Mooca,934
Avenida Dória,campo belo,52,2,1,Apartamento,3000,4101,Campo Belo,1147
Rua Tabor,ipiranga,30,1,0,Casa,1650,1720,Ipiranga,1254
Rua Doutor Diogo de Faria,vila clementino,25,1,0,Studio e kitnet,2590,3215,Vila Clementino,1255
Rua Almirante Calheiros,tatuape,38,2,1,Apartamento,3000,3672,Tatuapé,1078
Rua Machado Bitencourt,vila clementino,75,2,1,Apartamento,2500,3707,Vila Clementino,1255
Rua José Medina Zavalla,vila araguaia,43,1,0,Casa,620,647,Vila Araguaia,1150
Rua Doutor Neto de Araújo,vila mariana,74,2,1,Apartamento,4600,6152,Vila Mariana,1072
Rua Ministro Godói,perdizes,24,1,0,Apartamento,2500,3171,Perdizes,1151
Rua Pentecostes,vila california,28,1,0,Casa,695,758,Vila Califórnia,988
Rua Duarte de Azevedo,santana,45,1,1,Apartamento,2500,3611,Santana,915
Rua Professor Doutor José Marques da Cruz,jardim das acacias,26,1,0,Studio e kitnet,3500,3889,Jardim das Acácias,904
Rua São João Gualberto,vila mafra,41,2,0,Apartamento,1572,1702,Vila Mafra,1077
Rua General Júlio Marcondes Salgado,campos eliseos,70,2,0,Apartamento,2200,2762,Campos Elíseos,1143
Avenida Pompéia,vila pompeia,50,2,2,Apartamento,2880,3999,Vila Pompéia,1151
Avenida Sebastião Henriques,vila siqueira,67,3,1,Apartamento,3000,3817,Vila Siqueira (zona Norte),1146
Rua Afonso Bandeira de Melo,campo belo,30,1,0,Studio e kitnet,1350,1461,Campo Belo,1147
Rua dos Marapés,vila campestre,40,1,0,Casa,730,761,Vila Campestre,1073
Rua Dona Antônia de Queirós,consolacao,56,2,1,Apartamento,4300,5139,Consolação,1067
Avenida Sebastião Henriques,vila siqueira,53,2,1,Apartamento,1900,2745,Vila Siqueira (zona Norte),1146
Rua Heitor Peixoto,cambuci,45,2,1,Apartamento,2150,2853,Cambuci,983
Avenida Rebouças,pinheiros,49,1,1,Apartamento,5962,6998,Pinheiros,1257
Rua Bacaetava,vila gertrudes,74,3,1,Apartamento,2800,4448,Vila Gertrudes,904
Rua Evolução,vila brasilina,32,1,0,Casa,850,937,Vila Brasilina,1148
Rua Bela Cintra,consolacao,58,2,1,Apartamento,4850,5684,Consolação,1067
Rua Barão de Tatuí,vila buarque,25,1,0,Studio e kitnet,1250,1616,Vila Buarque,1143
Avenida Bosque da Saúde,saude,42,1,0,Casa,2000,2235,Saúde,1072
Rua Francisca Miquelina,bela vista,27,1,0,Studio e kitnet,3500,4032,Bela Vista,1410
Praça da República,republica,41,1,0,Apartamento,1020,1920,República,1143
Rua Jaceru,vila gertrudes,82,3,0,Casa,3200,3398,Vila Gertrudes,904
Rua Manuel de Almeida,vila guilherme,40,2,0,Casa,1220,1272,Vila Guilherme,915
Rua Bartolomeu de Gusmão,vila mariana,32,1,1,Studio e kitnet,2560,3100,Vila Mariana,1072
Rua Frei Caneca,consolacao,30,1,0,Apartamento,3723,4260,Consolação,1067
Avenida Santos Dumont,santana,54,2,1,Apartamento,1800,2293,Santana,915
Rua Borba Gato,santo amaro,87,2,2,Apartamento,3700,5347,Santo Amaro,1265
Rua Alexandre Levi,cambuci,61,3,2,Apartamento,2900,3727,Cambuci,983
Rua Capitão José Amaral,vila portuguesa,41,2,2,Apartamento,1530,1854,Vila Portuguesa,1252
Rua Professor Celso Quirino dos Santos,cidade sao francisco,67,3,1,Apartamento,2000,2792,Cidade São Francisco,993
Rua Esmeralda Monteiro,vila campestre,50,1,0,Casa,940,999,Vila Campestre,1073
Avenida Guilherme,vila guilherme,61,3,1,Apartamento,3800,4417,Vila Guilherme,915
Rua Coronel Francisco de Oliveira Simões,paraiso do morumbi,82,3,2,Apartamento,1820,3205,Paraíso do Morumbi,917
Rua Capistrano de Abreu,barra funda,50,2,1,Apartamento,2900,3667,Barra Funda,1143
Avenida Ipiranga,republica,33,1,0,Studio e kitnet,1800,2519,República,1143
Rua Rego Barros,jardim vila formosa,61,3,1,Apartamento,2800,3357,Jardim Vila Formosa,986
Rua Francisco Coelho dos Santos Filho,jardim kuabara,42,1,0,Casa,1175,1259,Jardim Kuabara,1074
Rua Guaianases,campos eliseos,28,1,0,Studio e kitnet,700,1150,Campos Elíseos,1143
Rua Pangaré,vila butanta,39,2,0,Apartamento,2000,2568,Vila Butantã,993
Rua Tamandaré,aclimacao,31,1,1,Apartamento,2500,3507,Aclimação,1015
Rua Desembargador Rodrigues Sette,jardim peri,50,2,1,Apartamento,1350,2022,Jardim Peri,1070
Rua Pedro Malaquias,vila carrao,68,3,1,Apartamento,4500,5289,Vila Carrão,1077
Rua Jorge Cândido Marin,vila santa luzia,69,2,1,Apartamento,1500,2342,Vila Santa Luzia,923
Rua Tebas,jardim brasil,230,3,2,Casa,7800,8465,Jardim Brasil (zona Sul),1069
Rua Alfredo Pujol,bela vista,25,1,1,Apartamento,2097,2487,Bela Vista,1410
Rua Costeira,jardim arize,75,2,0,Casa,1090,1160,Jardim Arize,1025
Rua Heitor Penteado,sumarezinho,80,3,1,Apartamento,3111,4067,Sumarezinho,1257
Rua Doutor Bacelar,vila clementino,27,1,0,Studio e kitnet,4500,4892,Vila Clementino,1255
Rua Abílio Pedro Ramos,vila nilo,50,2,0,Casa,1020,1093,Vila Nilo,942
"Rua Topázio, 701 - Vila Mariana, São Paulo - Sp, Brasil",vila mariana,33,1,1,Apartamento,2999,3853,Vila Mariana,1072
Avenida Raimundo Pereira de Magalhães,jardim iris,70,3,1,Apartamento,1550,2345,Jardim Iris,919
Rua João Cachoeira,vila nova conceicao,40,1,1,Studio e kitnet,5425,6467,Vila Nova Conceição,1256
Avenida Lins de Vasconcelos,cambuci,85,2,2,Apartamento,5290,6579,Cambuci,983
Avenida Interlagos,jardim marajoara,95,2,1,Apartamento,3000,4612,Jardim Marajoara,901
Avenida Doutora Ruth Cardoso,pinheiros,69,2,1,Apartamento,3800,5202,Pinheiros,1257
Rua Artur Prado,bela vista,25,1,0,Studio e kitnet,2600,3200,Bela Vista,1410
Rua Campos Bicudo,jardim europa,50,1,1,Studio e kitnet,3500,5415,Jardim Europa,937
Rua José Maria Lisboa,jardim paulista,160,3,1,Apartamento,4000,6890,Jardim Paulista,937
Avenida Portugal,centro,43,1,1,Apartamento,2000,3894,Centro,1410
Avenida Bosque da Saúde,vila da saude,41,1,1,Apartamento,2130,3193,Vila da Saúde,1072
Rua Piratininga,bras,53,2,1,Apartamento,2600,3555,Brás,934
Rua Alvorada,vila olimpia,44,2,1,Apartamento,3300,5124,Vila Olímpia,1256
Avenida Ipiranga,republica,46,1,0,Apartamento,2500,2996,República,1143
Rua Francisco Estácio Fortes,santa cecilia,88,2,1,Apartamento,3341,4370,Santa Cecilia,938
Rua do Lavapés,cambuci,55,2,0,Apartamento,1100,1742,Cambuci,983
Rua Santa Isabel,vila buarque,27,1,0,Studio e kitnet,2620,3054,Vila Buarque,1143
Avenida Bosque da Saúde,vila da saude,45,1,1,Apartamento,2100,3494,Vila da Saúde,1072
Rua José Getúlio,liberdade,40,2,0,Apartamento,2360,2841,Liberdade,1410
Rua Purpurina,sumarezinho,55,2,1,Apartamento,5200,7262,Sumarezinho,1257
Rua Doutor Mário Ferraz,jardim paulistano,50,1,1,Apartamento,6180,8215,Jardim Paulistano,937
Avenida Raimundo Pereira de Magalhães,jardim iris,66,2,1,Apartamento,1600,2212,Jardim Iris,919
Rua Doutor Virgílio de Carvalho Pinto,pinheiros,110,2,2,Apartamento,8500,10230,Pinheiros,1257
Rua Macajuba,jardim iracema,26,1,0,Casa,730,743,Jardim Iracema,1022
Rua Xavier Gouveia,parque colonial,128,3,2,Apartamento,3900,6396,Parque Colonial,1265
Rua Maria Carolina,jardim paulistano,27,1,1,Studio e kitnet,5000,5779,Jardim Paulistano,937
Rua Washington Luís,centro historico de sao paulo,23,1,1,Studio e kitnet,1600,2502,Centro Histórico de São Paulo,1410
Rua Joaquim Floriano,itaim bibi,33,1,0,Studio e kitnet,6200,7179,Itaim Bibi,1256
Alameda Lorena,jardim paulista,26,1,1,Studio e kitnet,4000,4779,Jardim Paulista,937
Rua Desembargador Júlio César de Faria,jardim bonfiglioli,72,3,1,Apartamento,1800,2449,Jardim Bonfiglioli,993
Rua Turiassu,perdizes,39,2,0,Apartamento,4900,6089,Perdizes,1151
Rua Hermeto Lima,vila alpina,42,2,1,Apartamento,2100,2416,Vila Alpina,988
Rua Cayowaá,perdizes,170,3,3,Apartamento,6000,10960,Perdizes,1151
Rua Engenheiro Pegado,vila carrao,140,3,3,Casa,10000,10390,Vila Carrão,1077
Avenida Giovanni Gronchi,vila andrade,96,2,2,Apartamento,4200,5812,Vila Andrade,917
Rua Padre Bento Ibáñez,jardim prudencia,49,2,1,Apartamento,2220,3019,Jardim Prudência,901
Rua Coronel Oscar Porto,paraiso,96,2,1,Apartamento,3000,4168,Paraíso,1410
Rua Senador César Lacerda Vergueiro,sumarezinho,84,3,2,Apartamento,6000,7851,Sumarezinho,1257
Rua Indiana,brooklin paulista,120,2,2,Casa,4000,4336,Brooklin Paulista,1147
Rua Sócrates,vila sofia,92,4,2,Apartamento,2611,4404,Vila Sofia,1265
"Indianópolis, São Paulo - Sp, 04077-020, Brasil",indianopolis,100,3,2,Apartamento,7000,8126,Indianópolis,1255
Rua Apiacás,pompeia,25,1,0,Apartamento,3560,4130,Pompeia,1151
Rua Doutor Alvares Teixeira,jardim tango,15,1,1,Casa,15000,15640,Jardim Tango,1020
Avenida Professor Ascendino Reis,vila clementino,27,1,0,Studio e kitnet,2695,3339,Vila Clementino,1255
Rua Barão do Triunfo,brooklin,116,2,3,Apartamento,7000,9810,Brooklin,1147
Rua Calixto da Mota,vila mariana,44,1,1,Apartamento,3900,5848,Vila Mariana,1072
Rua Catão,vila romana,42,1,0,Apartamento,1656,2139,Vila Romana,957
Rua João Moura,pinheiros,185,2,3,Apartamento,10000,13160,Pinheiros,1257
Rua Franklin do Amaral,vila nova cachoeirinha,42,2,1,Apartamento,2500,3036,Vila Nova Cachoeirinha,943
Rua Joaquim Guarani,jardim das acacias,20,1,0,Studio e kitnet,3061,3500,Jardim das Acacias,904
Avenida Pavão,indianopolis,144,3,2,Apartamento,5330,8143,Indianópolis,1255
Rua Conselheiro Brotero,santa cecilia,70,2,1,Apartamento,2700,3905,Santa Cecilia,938
Rua Doutor Nicolino Morena,vila constanca,73,3,1,Apartamento,3375,4085,Vila Constança,1024
Rua Correia Dias,paraiso,27,1,0,Studio e kitnet,3500,4339,Paraíso,1410
Rua Édison,campo belo,83,2,1,Apartamento,4800,6618,Campo Belo,1147
Avenida Rebouças,pinheiros,38,1,1,Apartamento,3500,4116,Pinheiros,1257
Rua Desembargador Aragão,vila mariana,23,1,0,Apartamento,2500,2892,Vila Mariana,1072
Rua Doutor Roberto Feijó,vila prudente,151,4,2,Casa,4000,4435,Vila Prudente,988
Rua Henri Dunant,santo amaro,105,3,1,Apartamento,4400,6039,Santo Amaro,1265
Avenida Jandira,indianopolis,162,3,3,Apartamento,10500,13570,Indianópolis,1255
Rua Azevedo Soares,vila gomes cardim,172,3,3,Apartamento,12000,14970,Vila Gomes Cardim,1078
Rua Afonso Braz,vila nova conceicao,27,1,0,Studio e kitnet,4080,4737,Vila Nova Conceição,1256
Rua Doutor José de Andrade Figueira,vila suzana,110,3,2,Apartamento,4000,5431,Vila Suzana,1074
Alameda Franca,jardim paulista,75,2,1,Apartamento,3300,5372,Jardim Paulista,937
Avenida Nova Independência,brooklin,125,2,3,Apartamento,9200,11960,Brooklin,1147
Avenida Esperança,centro,170,4,4,Apartamento,7800,10190,Centro,1410
Avenida Padre Antônio José dos Santos,cidade moncoes,172,3,2,Apartamento,7500,9696,Cidade Monções,1147
Rua Serra de Botucatu,vila gomes cardim,78,3,2,Apartamento,2300,3294,Vila Gomes Cardim,1078
Rua Guaraiúva,cidade moncoes,43,1,1,Studio e kitnet,3199,4214,Cidade Monções,1147
Rua Doutor Djalma Pinheiro Franco,vila mascote,25,1,0,Studio e kitnet,865,998,Vila Mascote,1147
Alameda Itu,jardim paulista,115,3,2,Apartamento,15000,18860,Jardim Paulista,937
Rua Diego de Castilho,jardim fonte do morumbi,201,3,3,Apartamento,8240,12990,Jardim Fonte do Morumbi,917
Rua Joaquim Antunes,pinheiros,89,2,1,Apartamento,11000,13110,Pinheiros,1257
Rua Francisco Tapajós,vila santo estefano,70,2,1,Apartamento,2300,3402,Vila Santo Estéfano,1077
Rua dos Franceses,morro dos ingleses,37,1,1,Apartamento,2210,4049,Morro dos Ingleses,1067
Rua Casa do Ator,vila olimpia,100,3,1,Apartamento,3700,5671,Vila Olímpia,1256
Avenida Ibirapuera,indianopolis,27,1,1,Apartamento,2960,5366,Indianópolis,1255
Rua Santa Justina,vila olimpia,26,1,1,Apartamento,3800,5622,Vila Olímpia,1256
Avenida Professor Francisco Morato,vila sonia,77,2,1,Apartamento,2800,3495,Vila Sônia,1074
Dona Maria Pera,sao judas,90,3,2,Apartamento,2900,4189,São Judas,1255
Rua Passo da Pátria,bela alianca,101,3,2,Apartamento,3600,5412,Bela Aliança,957
Rua São Gil,tatuape,105,3,3,Apartamento,5500,7117,Tatuapé,1078
Rua Bandeira Paulista,itaim bibi,80,1,2,Apartamento,6500,11360,Itaim Bibi,1256
Rua Diana,perdizes,127,3,2,Apartamento,8200,10200,Perdizes,1151
Rua Teixeira Leite,liberdade,75,1,0,Apartamento,1700,2119,Liberdade,1410
Avenida Professor Abraão de Morais,saude,145,3,2,Casa,3600,3986,Saúde,1072
Rua Doutor Joaquim D'aquino Fonseca,sitio do mandaqui,90,2,1,Casa,1500,1563,Sítio do Mandaqui,1154
Avenida Júlio Buono,vila gustavo,45,2,0,Apartamento,1600,1763,Vila Gustavo,1069
Rua Dona Cesária Fagundes,saude,125,4,2,Casa,3200,3465,Saúde,1072
Rua do Oratório,alto da mooca,70,2,0,Apartamento,1577,1637,Alto da Mooca,1253
Avenida Sapopemba,vila regente feijo,36,1,0,Casa,950,1057,Vila Regente Feijó,1077
Rua Santa Luzia,liberdade,40,1,0,Apartamento,1450,1776,Liberdade,1410
Rua João Pimentel,parque peruche,60,1,0,Casa,1263,1346,Parque Peruche,1259
Rua Edvard Carmilo,jardim celeste,35,2,0,Apartamento,1300,1647,Jardim Celeste,1074
Rua Águas Claras,jardim peri,70,2,1,Casa em condomínio,1650,1814,Jardim Peri,1070
Rua Luiz Grassmann,jardim mirante,35,1,0,Apartamento,1500,1858,Jardim Mirante,940
Rua Gastão Madeira,vila maria alta,48,1,0,Casa,1150,1308,Vila Maria Alta,1252
Rua Alfredo Pujol,santana,60,2,1,Apartamento,1500,2463,Santana,915
